Number of Scenarios = 20, Investment Cost = 500000, Number of time units = 720, Instance Type = Randomly Generated Instances
Station No.  , 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 
Scenario No. = 0
0, 0.000, 41.000, 449.000, 623.000, 1053.000, 1197.000, 1618.000, 1757.000, 1302.000, 2052.000, 1765.000, 1983.000, 2195.000, 2839.000, 2822.000, 3928.000, 3333.000, 3276.000, 4932.000, 2827.000, 4827.000, 4528.000, 4240.000, 4411.000, 5241.000, 5261.000, 
1, 0.000, 41.000, 449.000, 623.000, 1053.000, 1197.000, 1618.000, 1757.000, 1302.000, 2052.000, 1765.000, 1983.000, 2237.000, 2839.000, 2822.000, 3928.000, 3333.000, 3276.000, 4933.000, 2827.000, 4827.000, 4528.000, 4241.000, 4411.000, 5241.000, 5261.000, 
2, 0.000, 41.000, 449.000, 623.000, 1053.000, 1197.000, 1618.000, 1757.000, 1302.000, 2052.000, 1765.000, 1983.000, 2238.000, 2839.000, 2822.000, 3928.000, 3333.000, 3276.000, 4933.000, 2827.000, 4827.000, 4528.000, 4242.000, 4411.000, 5241.000, 5262.000, 
3, 0.000, 41.000, 449.000, 623.000, 1053.000, 1197.000, 1618.000, 1757.000, 1302.000, 2052.000, 1765.000, 1983.000, 2245.000, 2839.000, 2822.000, 3928.000, 3333.000, 3276.000, 4934.000, 2827.000, 4827.000, 4528.000, 4242.000, 4411.000, 5241.000, 5262.000, 
4, 0.000, 41.000, 449.000, 623.000, 1053.000, 1197.000, 1618.000, 1757.000, 1302.000, 2052.000, 1765.000, 1983.000, 2245.000, 2839.000, 2822.000, 3928.000, 3333.000, 3276.000, 4934.000, 2827.000, 4827.000, 4528.000, 4242.000, 4411.000, 5241.000, 5262.000, 
5, 0.000, 41.000, 449.000, 623.000, 1054.000, 1197.000, 1618.000, 1758.000, 1303.000, 2052.000, 1765.000, 1983.000, 2249.000, 2839.000, 2822.000, 3929.000, 3333.000, 3277.000, 4936.000, 2827.000, 4827.000, 4528.000, 4243.000, 4411.000, 5241.000, 5263.000, 
6, 0.000, 41.000, 449.000, 623.000, 1054.000, 1197.000, 1618.000, 1758.000, 1303.000, 2052.000, 1765.000, 1983.000, 2250.000, 2839.000, 2822.000, 3929.000, 3336.000, 3278.000, 4936.000, 2827.000, 4833.000, 4528.000, 4243.000, 4411.000, 5241.000, 5263.000, 
7, 0.000, 41.000, 449.000, 623.000, 1054.000, 1197.000, 1618.000, 1758.000, 1303.000, 2052.000, 1765.000, 1983.000, 2295.000, 2839.000, 2822.000, 3929.000, 3337.000, 3284.000, 4936.000, 2827.000, 4833.000, 4528.000, 4243.000, 4411.000, 5241.000, 5263.000, 
8, 0.000, 41.000, 449.000, 623.000, 1054.000, 1197.000, 1618.000, 1758.000, 1303.000, 2052.000, 1765.000, 1983.000, 2316.000, 2839.000, 2822.000, 3929.000, 3337.000, 3284.000, 4936.000, 2827.000, 4835.000, 4528.000, 4243.000, 4411.000, 5241.000, 5263.000, 
9, 0.000, 41.000, 449.000, 623.000, 1054.000, 1197.000, 1618.000, 1758.000, 1303.000, 2052.000, 1765.000, 1983.000, 2317.000, 2839.000, 2822.000, 3929.000, 3338.000, 3285.000, 4936.000, 2827.000, 4836.000, 4528.000, 4243.000, 4411.000, 5241.000, 5263.000, 
10, 0.000, 41.000, 449.000, 623.000, 1054.000, 1197.000, 1618.000, 1758.000, 1303.000, 2052.000, 1765.000, 1983.000, 2317.000, 2839.000, 2822.000, 3929.000, 3338.000, 3286.000, 4936.000, 2827.000, 4836.000, 4528.000, 4243.000, 4411.000, 5241.000, 5263.000, 
11, 0.000, 41.000, 449.000, 623.000, 1054.000, 1197.000, 1618.000, 1758.000, 1303.000, 2052.000, 1765.000, 1983.000, 2318.000, 2839.000, 2822.000, 3929.000, 3340.000, 3288.000, 4936.000, 2827.000, 4837.000, 4528.000, 4244.000, 4412.000, 5241.000, 5264.000, 
12, 0.000, 41.000, 449.000, 623.000, 1054.000, 1198.000, 1618.000, 1761.000, 1305.000, 2054.000, 1765.000, 1986.000, 2353.000, 2839.000, 2822.000, 3932.000, 3341.000, 3288.000, 4936.000, 2827.000, 4839.000, 4528.000, 4244.000, 4415.000, 5241.000, 5264.000, 
13, 0.000, 41.000, 449.000, 623.000, 1054.000, 1199.000, 1618.000, 1761.000, 1305.000, 2054.000, 1765.000, 1987.000, 2354.000, 2839.000, 2822.000, 3934.000, 3341.000, 3288.000, 4936.000, 2827.000, 4839.000, 4528.000, 4244.000, 4418.000, 5241.000, 5264.000, 
14, 0.000, 41.000, 449.000, 623.000, 1054.000, 1200.000, 1618.000, 1761.000, 1305.000, 2054.000, 1765.000, 1987.000, 2362.000, 2839.000, 2822.000, 3934.000, 3341.000, 3288.000, 4936.000, 2827.000, 4839.000, 4528.000, 4244.000, 4418.000, 5241.000, 5264.000, 
